benchmark,level,parallel,region,parent,seconds,percent_total,percent_parent,parent_level,depth
UA,parallel,do_coarsen:313,do_coarsen:313,iteration total,0.000112243,0.01677799963538124,0.01677799963538124,total,0
UA,for,do_coarsen:313,do_coarsen:313,do_coarsen:313,0.000112243,0.01677799963538124,100.0,parallel,1
UA,parallel,do_refine:352,do_refine:352,iteration total,9.403e-06,0.0014055534026308082,0.0014055534026308082,total,0
UA,for,do_refine:352,do_refine:352,do_refine:352,9.403e-06,0.0014055534026308082,100.0,parallel,1
UA,parallel,do_refine:374,do_refine:374,iteration total,3.89e-06,0.000581474288656157,0.000581474288656157,total,0
UA,for,do_refine:374,do_refine:374,do_refine:374,3.89e-06,0.000581474288656157,100.0,parallel,1
UA,parallel,do_refine:387,do_refine:387,iteration total,6.85e-06,0.0010239328733405333,0.0010239328733405333,total,0
UA,for,do_refine:387,do_refine:387,do_refine:387,6.85e-06,0.0010239328733405333,100.0,parallel,1
UA,parallel,do_refine:416,do_refine:416,iteration total,0.000319818,0.04780615528263105,0.04780615528263105,total,0
UA,for,do_refine:416,do_refine:416,do_refine:416,0.000319818,0.04780615528263105,100.0,parallel,1
UA,parallel,find_coarsen:758,find_coarsen:758,iteration total,7.3356e-05,0.010965199979090243,0.010965199979090243,total,0
UA,for,find_coarsen:758,find_coarsen:758,find_coarsen:758,7.3356e-05,0.010965199979090243,100.0,parallel,1
UA,parallel,find_refine:794,find_refine:794,iteration total,0.000105556,0.015778431880048665,0.015778431880048665,total,0
UA,for,find_refine:794,find_refine:794,find_refine:794,0.000105556,0.015778431880048665,100.0,parallel,1
UA,parallel,check_refine:821,check_refine:821,iteration total,1.9193e-05,0.0028689552756240673,0.0028689552756240673,total,0
UA,for,check_refine:821,check_refine:821,check_refine:821,1.9193e-05,0.0028689552756240673,100.0,parallel,1
UA,parallel,convect:72,convect:72,iteration total,0.074238345,11.097092249327858,11.097092249327858,total,0
UA,for,convect:72,convect:72,convect:72,0.074238345,11.097092249327858,100.0,parallel,1
UA,parallel,convect:249,convect:249,iteration total,0.000732711,0.10952509190630887,0.10952509190630887,total,0
UA,for,convect:249,convect:249,convect:249,0.000732711,0.10952509190630887,100.0,parallel,1
UA,parallel,diffusion:57,diffusion:57,iteration total,0.000430883,0.06440806835964805,0.06440806835964805,total,0
UA,for,diffusion:57,diffusion:57,diffusion:57,0.000430883,0.06440806835964805,100.0,parallel,1
